Timestamp,Requests_Last_5s,CPU_Usage(%),Memory_Usage(%),Avg_Response_Time(ms),Thread_Utilization(%),Requests_Per_Second,Load_Level
4,0,0.00,0.28,0.00,0.00,0.00,Low
5006,1,0.00,0.31,102.00,0.00,0.20,Low
10005,17,0.00,0.74,101.71,0.00,3.40,Low
15005,17,0.00,1.17,95.35,2.00,3.40,Low
20005,16,0.00,1.55,107.94,0.00,3.20,Low
25005,17,0.00,1.55,95.41,2.00,3.40,Low
30004,16,0.00,1.55,107.69,0.00,3.20,Low
35005,18,0.00,1.55,95.89,2.00,3.60,Low
40006,50,0.00,1.55,101.24,2.00,10.00,Low
45005,49,0.00,1.55,101.06,2.00,9.80,Low
50005,50,0.00,1.55,101.10,2.00,10.00,Low
55005,49,0.00,1.55,101.31,2.00,9.80,Low
60005,50,0.00,1.55,101.00,2.00,10.00,Low
65005,49,0.00,1.60,101.02,2.00,9.80,Low
70005,50,0.00,1.63,100.84,2.00,10.00,Low
75005,50,0.00,1.63,100.96,2.00,10.00,Low
80005,49,0.00,1.65,101.06,2.00,9.80,Low
85005,50,0.00,1.65,100.92,2.00,10.00,Low
90005,49,0.00,1.65,101.12,2.00,9.80,Low
95005,55,0.00,1.65,93.67,10.00,11.00,Medium
100005,240,0.00,1.65,100.70,10.00,48.00,High
105006,241,0.00,1.65,100.84,10.00,48.20,High
110005,242,0.00,1.83,100.74,10.00,48.40,High
115005,241,0.00,0.74,100.79,10.00,48.20,High
120006,240,0.00,0.79,100.73,10.00,48.00,High
125005,242,0.00,0.80,100.77,10.00,48.40,High
130006,241,0.00,1.13,100.68,10.00,48.20,High
135005,241,0.00,1.55,100.56,10.00,48.20,High
140005,241,0.00,1.62,100.56,10.00,48.20,High
145005,242,0.00,1.85,100.72,10.00,48.40,High
150005,241,0.00,2.02,100.65,10.00,48.20,High
155005,235,0.00,2.32,102.91,0.00,47.00,High
160005,12,0.00,2.33,100.67,0.00,2.40,Low
165005,13,0.00,2.36,101.15,0.00,2.60,Low
170005,12,0.00,2.36,100.50,0.00,2.40,Low
175005,13,0.00,2.36,93.00,2.00,2.60,Low
180005,12,0.00,2.37,109.25,0.00,2.40,Low
185006,12,0.00,2.37,101.08,0.00,2.40,Low
190005,0,0.00,2.37,0.00,0.00,0.00,Low
195005,0,0.00,2.37,0.00,0.00,0.00,Low
200006,0,0.00,2.37,0.00,0.00,0.00,Low
205005,0,0.00,2.37,0.00,0.00,0.00,Low
210005,0,0.00,2.37,0.00,0.00,0.00,Low
215005,0,0.00,2.37,0.00,0.00,0.00,Low
220005,0,0.00,2.37,0.00,0.00,0.00,Low
225005,0,0.00,2.37,0.00,0.00,0.00,Low
230005,0,0.00,2.37,0.00,0.00,0.00,Low
235005,0,0.00,2.37,0.00,0.00,0.00,Low
240006,0,0.00,2.37,0.00,0.00,0.00,Low
245005,0,0.00,2.37,0.00,0.00,0.00,Low
250005,0,0.00,2.37,0.00,0.00,0.00,Low
255005,0,0.00,2.37,0.00,0.00,0.00,Low
260005,0,0.00,2.37,0.00,0.00,0.00,Low
265005,0,0.00,2.37,0.00,0.00,0.00,Low
270005,0,0.00,2.37,0.00,0.00,0.00,Low
275006,0,0.00,2.38,0.00,0.00,0.00,Low
280005,0,0.00,2.38,0.00,0.00,0.00,Low
285005,0,0.00,2.38,0.00,0.00,0.00,Low
290005,0,0.00,2.38,0.00,0.00,0.00,Low
295005,0,0.00,2.38,0.00,0.00,0.00,Low
300005,0,0.00,2.38,0.00,0.00,0.00,Low
305005,0,0.00,2.38,0.00,0.00,0.00,Low
310005,0,0.00,2.38,0.00,0.00,0.00,Low
315005,0,0.00,2.38,0.00,0.00,0.00,Low
320005,0,0.00,2.38,0.00,0.00,0.00,Low
325005,0,0.00,2.38,0.00,0.00,0.00,Low
330005,0,0.00,2.38,0.00,0.00,0.00,Low
335005,0,0.00,2.38,0.00,0.00,0.00,Low
340005,0,0.00,2.38,0.00,0.00,0.00,Low
345005,0,0.00,2.38,0.00,0.00,0.00,Low
350005,0,0.00,2.38,0.00,0.00,0.00,Low
355006,0,0.00,2.38,0.00,0.00,0.00,Low
360005,0,0.00,2.38,0.00,0.00,0.00,Low
365006,0,0.00,2.38,0.00,0.00,0.00,Low
370005,0,0.00,2.38,0.00,0.00,0.00,Low
375005,0,0.00,2.38,0.00,0.00,0.00,Low
380005,0,0.00,2.38,0.00,0.00,0.00,Low
385005,0,0.00,2.38,0.00,0.00,0.00,Low
390005,0,0.00,2.38,0.00,0.00,0.00,Low
395005,0,0.00,2.38,0.00,0.00,0.00,Low
400005,0,0.00,2.38,0.00,0.00,0.00,Low
405006,0,0.00,2.38,0.00,0.00,0.00,Low
410005,0,0.00,2.38,0.00,0.00,0.00,Low
415005,0,0.00,2.38,0.00,0.00,0.00,Low
420005,0,0.00,2.38,0.00,0.00,0.00,Low
425005,0,0.00,2.38,0.00,0.00,0.00,Low
430005,0,0.00,2.38,0.00,0.00,0.00,Low
435005,0,0.00,2.38,0.00,0.00,0.00,Low
440005,0,0.00,2.38,0.00,0.00,0.00,Low
445005,0,0.00,2.38,0.00,0.00,0.00,Low
450005,0,0.00,2.38,0.00,0.00,0.00,Low
455006,0,0.00,2.38,0.00,0.00,0.00,Low
460005,0,0.00,2.38,0.00,0.00,0.00,Low
465005,0,0.00,2.39,0.00,0.00,0.00,Low
470006,0,0.00,2.39,0.00,0.00,0.00,Low
475005,0,0.00,2.39,0.00,0.00,0.00,Low
480006,0,0.00,2.39,0.00,0.00,0.00,Low
485006,0,0.00,2.39,0.00,0.00,0.00,Low
490006,0,0.00,2.39,0.00,0.00,0.00,Low
495005,0,0.00,2.39,0.00,0.00,0.00,Low
500005,0,0.00,2.39,0.00,0.00,0.00,Low
505005,0,0.00,2.39,0.00,0.00,0.00,Low
510005,0,0.00,2.39,0.00,0.00,0.00,Low
515005,0,0.00,2.39,0.00,0.00,0.00,Low
520005,0,0.00,2.39,0.00,0.00,0.00,Low
525005,0,0.00,2.39,0.00,0.00,0.00,Low
530005,0,0.00,2.39,0.00,0.00,0.00,Low
535005,0,0.00,2.39,0.00,0.00,0.00,Low
540005,0,0.00,2.39,0.00,0.00,0.00,Low
545005,0,0.00,2.39,0.00,0.00,0.00,Low
550005,0,0.00,2.39,0.00,0.00,0.00,Low
555005,0,0.00,2.39,0.00,0.00,0.00,Low
560005,0,0.00,2.39,0.00,0.00,0.00,Low
565004,0,0.00,2.39,0.00,0.00,0.00,Low
570005,0,0.00,2.39,0.00,0.00,0.00,Low
575005,0,0.00,2.39,0.00,0.00,0.00,Low
580006,0,0.00,2.39,0.00,0.00,0.00,Low
585005,0,0.00,2.39,0.00,0.00,0.00,Low
590006,0,0.00,2.39,0.00,0.00,0.00,Low
595006,0,0.00,2.39,0.00,0.00,0.00,Low
600006,0,0.00,2.39,0.00,0.00,0.00,Low
605005,0,0.00,2.39,0.00,0.00,0.00,Low
610005,0,0.00,2.39,0.00,0.00,0.00,Low
615005,0,0.00,2.39,0.00,0.00,0.00,Low
620005,0,0.00,2.39,0.00,0.00,0.00,Low
625005,0,0.00,2.39,0.00,0.00,0.00,Low
630005,0,0.00,2.39,0.00,0.00,0.00,Low
635006,0,0.00,2.39,0.00,0.00,0.00,Low
640069,0,0.00,2.39,0.00,0.00,0.00,Low
645005,0,0.00,2.39,0.00,0.00,0.00,Low
650006,0,0.00,2.39,0.00,0.00,0.00,Low
655005,0,0.00,2.39,0.00,0.00,0.00,Low
660005,0,0.00,2.39,0.00,0.00,0.00,Low
665005,0,0.00,2.39,0.00,0.00,0.00,Low
670005,0,0.00,2.39,0.00,0.00,0.00,Low
675005,0,0.00,2.39,0.00,0.00,0.00,Low
680005,0,0.00,2.39,0.00,0.00,0.00,Low
685005,0,0.00,2.39,0.00,0.00,0.00,Low
690005,0,0.00,2.39,0.00,0.00,0.00,Low
695005,0,0.00,2.39,0.00,0.00,0.00,Low
700005,0,0.00,2.39,0.00,0.00,0.00,Low
705005,0,0.00,2.39,0.00,0.00,0.00,Low
710005,0,0.00,2.39,0.00,0.00,0.00,Low
715005,0,0.00,2.39,0.00,0.00,0.00,Low
720005,0,0.00,2.39,0.00,0.00,0.00,Low
725005,0,0.00,2.39,0.00,0.00,0.00,Low
730005,0,0.00,2.39,0.00,0.00,0.00,Low
735005,0,0.00,2.41,0.00,0.00,0.00,Low
740005,0,0.00,2.41,0.00,0.00,0.00,Low
745005,0,0.00,2.41,0.00,0.00,0.00,Low
750005,0,0.00,2.41,0.00,0.00,0.00,Low
755005,0,0.00,2.41,0.00,0.00,0.00,Low
760005,0,0.00,2.41,0.00,0.00,0.00,Low
765005,0,0.00,2.41,0.00,0.00,0.00,Low
770005,0,0.00,2.41,0.00,0.00,0.00,Low
775006,0,0.00,2.41,0.00,0.00,0.00,Low
780005,0,0.00,2.41,0.00,0.00,0.00,Low
785005,0,0.00,2.41,0.00,0.00,0.00,Low
790005,0,0.00,2.41,0.00,0.00,0.00,Low
795005,0,0.00,2.41,0.00,0.00,0.00,Low
800005,0,0.00,2.41,0.00,0.00,0.00,Low
805006,0,0.00,2.41,0.00,0.00,0.00,Low
Timestamp,Requests_Last_5s,CPU_Usage(%),Memory_Usage(%),Avg_Response_Time(ms),Thread_Utilization(%),Requests_Per_Second,Load_Level
8,0,0.00,0.28,0.00,0.00,0.00,Low
5008,0,0.00,0.28,0.00,0.00,0.00,Low
10008,0,0.00,0.28,0.00,0.00,0.00,Low
15007,12,0.00,0.59,101.17,0.00,2.40,Low
20007,13,0.00,0.92,93.08,2.00,2.60,Low
25007,12,0.00,1.22,109.58,0.00,2.40,Low
30008,13,0.00,1.55,93.15,2.00,2.60,Low
35007,12,0.00,1.55,108.92,0.00,2.40,Low
40007,13,0.00,1.55,93.08,2.00,2.60,Low
45007,223,0.00,1.60,98.79,10.00,44.60,High
50007,241,0.00,1.68,100.55,10.00,48.20,High
55007,242,0.00,1.68,100.53,10.00,48.40,High
60007,241,0.00,1.68,100.57,10.00,48.20,High
65007,242,0.00,1.68,100.38,10.00,48.40,High
70007,243,0.00,0.49,100.40,10.00,48.60,High
75007,242,0.00,0.76,100.38,10.00,48.40,High
80007,241,0.00,0.81,100.42,10.00,48.20,High
85007,243,0.00,1.02,100.48,10.00,48.60,High
90007,242,0.00,1.42,100.56,10.00,48.40,High
95007,242,0.00,1.47,100.84,8.00,48.40,High
100007,243,0.00,1.68,100.07,10.00,48.60,High
105007,34,0.00,1.70,112.15,2.00,6.80,Low
110007,16,0.00,1.73,106.56,0.00,3.20,Low
115007,17,0.00,1.74,100.41,0.00,3.40,Low
120007,17,0.00,1.78,94.53,2.00,3.40,Low
125007,16,0.00,1.83,106.81,0.00,3.20,Low
130007,17,0.00,1.97,100.47,0.00,3.40,Low
135007,47,0.00,2.02,98.28,2.00,9.40,Low
140008,49,0.00,2.04,100.51,2.00,9.80,Low
145007,50,0.00,2.09,100.48,2.00,10.00,Low
150007,49,0.00,2.14,100.39,2.00,9.80,Low
155007,50,0.00,2.14,100.54,2.00,10.00,Low
160007,50,0.00,2.15,100.34,2.00,10.00,Low
165007,50,0.00,2.16,100.24,2.00,10.00,Low
170007,49,0.00,2.18,100.20,2.00,9.80,Low
175007,50,0.00,2.18,100.34,2.00,10.00,Low
180008,49,0.00,2.19,100.65,2.00,9.80,Low
185007,50,0.00,2.22,100.60,2.00,10.00,Low
190008,49,0.00,2.33,100.47,2.00,9.80,Low
195007,5,0.00,2.33,120.80,0.00,1.00,Low
200008,45,0.00,2.36,98.31,2.00,9.00,Low
205007,50,0.00,2.43,100.38,2.00,10.00,Low
210009,49,0.00,2.49,100.33,2.00,9.80,Low
215007,50,0.00,2.62,100.46,2.00,10.00,Low
220007,50,0.00,2.68,100.32,2.00,10.00,Low
225008,49,0.00,2.74,100.18,2.00,9.80,Low
230008,50,0.00,2.79,100.42,2.00,10.00,Low
235007,50,0.00,2.79,100.34,2.00,10.00,Low
240007,49,0.00,2.81,100.41,2.00,9.80,Low
245007,50,0.00,2.83,100.50,2.00,10.00,Low
250009,50,0.00,2.86,100.20,2.00,10.00,Low
